score,sentence1,sentence2
5.0,plane taking,air plane taking
3.8,man playing large flute,man playing flute
3.8,man spreading shreded cheese pizza,man spreading shredded cheese uncooked pizza
2.6,three men playing chess,two men playing chess
4.25,man playing cello,man seated playing cello
4.25,men fighting,two men fighting
0.5,man smoking,man skating
1.6,man playing piano,man playing guitar
2.2,man playing guitar singing,woman playing acoustic guitar singing
5.0,person throwing cat ceiling,person throw cat ceiling
4.2,man hit man stick,man spanked man stick
4.6,woman pick hold baby kangaroo,woman pick hold baby kangaroo arm
3.867,man playing flute,man playing bamboo flute
4.667,person folding piece paper,someone folding piece paper
1.6669999999999998,man running road,panda dog running road
3.75,dog trying get bacon back,dog trying eat bacon back
5.0,polar bear sliding snow,polar bear sliding across snow
0.5,woman writing,woman swimming
3.8,cat rubbing baby face,cat rubbing baby
5.0,man riding horse,man riding horse
3.2,man pours oil pot,man pours wine pot
2.8,man playing guitar,girl playing guitar
4.6,panda sliding slide,panda slide slide
3.0,woman eating something,woman eating meat
5.0,woman peel potato,woman peeling potato
4.8,boy fell bike,boy fall bike
5.0,woman playing flute,woman playing flute
4.2,rabbit running eagle,hare running eagle
4.2,woman frying breaded pork chop,woman cooking breaded pork chop
4.0,girl flying kite,girl running flying kite
4.0,man riding mechanical bull,man rode mechanical bull
4.909,man playing guitar,man playing guitar
3.0,woman dancing singing woman,woman dancing singing rain
2.4,man slicing bun,man slicing onion
4.2,man pouring oil pan,man pouring oil skillet
3.4,lion playing people,lion playing two men
5.0,dog ride skateboard,dog riding skateboard
3.75,someone carving statue,man carving statue
2.75,woman slicing onion,man cutting onion
5.0,woman peel shrimp,woman peeling shrimp
4.0,woman frying fish,woman cooking fish
3.6,woman playing electric guitar,woman playing guitar
1.6,baby tiger playing ball,baby playing doll
1.75,person slicing tomato,person slicing meat
5.0,person cut onion,person cutting onion
1.0,man playing piano,woman playing violin
1.0,woman playing flute,man playing guitar
2.375,man cutting potato,man cutting carrot
3.8,kid playing guitar,boy playing guitar
3.2,boy playing guitar,man playing guitar
3.2,man playing guitar,boy playing guitar
4.4,little boy playing keyboard,boy playing key board
3.75,man playing guitar,man playing electric guitar
4.75,dog lick baby,dog licking baby
3.2,woman slicing onion,man cutting onion
1.556,man playing guitar,man playing drum
3.938,woman slicing pepper,woman cutting red pepper
5.0,man playing drum,man play drum
5.0,woman ride horse,woman riding horse
4.0,man eating banana tree,man eating banana
1.6,cat playing key board,man playing two keyboard
4.75,man chop tree axe,man cut tree axe
3.5,kid play toy phone,little boy play toy phone
1.4,man riding motorcycle,man riding horse
1.4,man riding motorcycle,man riding horse
4.0,squirrel spinning around circle,squirrel run around circle
5.0,man woman kissing,man woman kiss
3.833,man getting car,man getting car garage
0.6,man dancing,man talking
2.917,man playing guitar singing,man playing guitar
4.2,person cutting mushroom,person cutting mushroom knife
2.0,tiger cub making sound,tiger walking around
2.6,person slicing onion,person peeling onion
1.6,man playing piano,man playing trumpet
2.0,woman peeling potato,woman peeling apple
4.2,pankda eating bamboo,panda bear eating bamboo
2.0,person peeling onion,person peeling eggplant
4.8,monkey push another monkey,monkey pushed monkey
4.4,squirrel run around circle,squirrel moving circle
5.0,man tying shoe,man tie shoe
3.0,boy singing playing piano,boy playing piano
4.25,dog eating water melon,dog eating piece watermelon
4.25,woman chopping broccoli,woman chopping broccoli knife
3.8,man peeling potato,man peeled potatoe
2.4,woman playing guitar,man play guitar
1.6,woman slicing tomato,man slicing onion
2.0,man swim underwater,woman swimming underwater
1.6,man woman talking,man woman eating
4.0,small dog chasing yoga ball,dog chasing ball
2.2,men playing cricket,men playing basketball
4.4,man ride motorcycle,man riding motorcycle
3.6,man playing guitar,man singing playing guitar
3.6,man talked telephone,man talking phone
0.5,man fishing,man exercising
0.8,man levitating,man talking
0.6,two boy driving,two bay dancing
2.6,man riding horse,girl riding horse
2.0,man riding bicycle,monkey riding bike
2.2,man slicing potato,woman peeling potato
2.4,woman peeling potato,man slicing potato
3.6,man playing guitar,someoen playing guitar
2.2,woman slicing leek,woman slicing ginger
4.8,man cut paper plate,man cutting paper plate
1.643,man playing guitar,man playing flute
1.75,man playing piano,man playing violin
2.25,woman slicing meat,woman breading meat
4.0,man playing keyboard,man playing keyboard piano
4.8,lady chopped green onion,lady cut green onion
3.2,someone sitring noodle water,woman boiling noodle water
4.0,lionel richie dancing ceiling,lionel ritchie dance standing ceiling
4.4,man playing piano,person playing piano
4.6,woman playing flute,woman play flute
3.8,boy checking calender,boy looking calendar
4.8,woman cutting onion,woman chopping onion
4.857,man playing guitar,man play guitar
5.0,woman using sewing machine,woman sewing machine
2.533,woman flipping pancake,cartoon chef flipping pancake
1.0,man running road,car driving road
1.0,man riding horse,man talking phone
2.0,man riding bike,man riding horse
0.14300000000000002,woman dancing,man eating
2.0,man playing piano,man playing flute
1.6,man playing flute,man playing piano
1.6,man spinning,man dancing
3.4,monkey swinging limb limb,monkey swinging tree tree
4.0,people got train,people got train station
4.8,dog jumping trampoline,dog bounce trampoline
2.5,boy playing instrument,man playing trumpet
1.75,woman play guitar,man sings play guitar
1.0,woman picking,woman slicing tomato
5.0,man climbing rope,man climb rope
1.4,man lifting car,man climbing wall
4.0,man woman driving street jeep,man woman driving road open air vehicle
3.8,shirtless man sat chair,shirtless man sitting chair
4.0,two woman wrestling,two woman wrestling floor
4.0,puppy played blue tennis ball,puppy playing tennis ball
4.8,kangroo eating something,kangaroo eating
0.6,cat playing piano,man playing guitar
4.75,man cut carpet knife,man cutting carpet knife
2.2,woman riding motorized scooter road,man riding motor scooter
3.0,someone slicing vegetable,someone slicing tomato
0.0,woman dancing,man talking
2.2,dog lick baby drool,dog lick baby
0.4,man rowing boat,man slicing tomato
4.8,man cut potato,man slice potato
4.8,woman chopping garlic,woman dicing garlic
3.8,animal run circle,squirrel run circle
3.0,man walking slowly across rope bridge,boy walking across bridge
4.0,man playing guitar,man seated room playing guitar
5.0,man play flute,man playing flute
3.8,woman crack two egg glass bowl,woman cracking egg bowl
3.0,man cutting fish,man gut fish
4.4,two men packing suitcase trunk car,men putting suitcase car trunk
3.8,man pours oil tomato,man poured oil cut tomato
3.0,man slicing something,man slicing bun
